Root,Expertise,MappedExpertise,Actors,
 ,Other Domains,Computing technology,Robert LiKamWa,
 ,Equity and Social Justice,Social welfare development and responsibility,Erin Ottmar,
 ,Learning Processes and Theories,Social emotional learning,Erin Ottmar,
 ,Disciplinary Areas,Math education,Erin Ottmar,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Erin Ottmar,
 ,Learning Processes and Theories,Creativity,Erin Ottmar,
 ,Analytics,Learning analytics,Vitaliy Popov,
 ,Learning Environments and Platforms,Narrative and simulated environments,Vitaliy Popov,
 ,Other Domains,Enthnographic methods,Vitaliy Popov,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Vitaliy Popov,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Vitaliy Popov,
 ,Analytics,Multimodal data analysis,Vitaliy Popov,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Vitaliy Popov,
 ,Research Methods,Qualitative methods,Vitaliy Popov,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Vitaliy Popov,
 ,Analytics,Learning analytics,Vitaliy Popov,
 ,"Instruments, Assessment, and Measures",Formative assessment,Vitaliy Popov,
 ,Learning Environments and Platforms,Wearable / physiological technology,Matthew Anderson,
 ,Research Methods,HCI,Zhen Bai,
 ,Equity and Social Justice,Accessibility and technology,Zhen Bai,
 ,AI Approaches and Technologies,Pedagogical agents,Zhen Bai,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Zhen Bai,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Zhen Bai,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Zhen Bai,
 ,Research Methods,Human-AI Interaction,Shuchisnigdha Deb,
 ,Capacity Building,Workforce development,Shuchisnigdha Deb,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Shuchisnigdha Deb,
 ,Research Methods,HCI,Shuchisnigdha Deb,
 ,Disciplinary Areas,Science education,Paulo Blikstein,
 ,Disciplinary Areas,Computer science education,Paulo Blikstein,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Paulo Blikstein,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Paulo Blikstein,
 ,Equity and Social Justice,Critical theory and identity,Paulo Blikstein,
 ,Learning Environments and Platforms,Games and game making,Paulo Blikstein,
 ,Other Domains,Computing technology,Paulo Blikstein,
 ,Learning Environments and Platforms,Interactive Displays,Paulo Blikstein,
 ,AI Approaches and Technologies,AI,Lydia Chilton,
 ,Analytics,Data visualization representations and dashboards,Lydia Chilton,
 ,Other Domains,Computing technology,Lydia Chilton,
 ,Learning Processes and Theories,Creativity,Lydia Chilton,
 ,Research Methods,Design Research,Lydia Chilton,
 ,Research Methods,HCI,Dong Wang,
 ,Learning Environments and Platforms,Wearable / physiological technology,Dong Wang,
 ,Learning Environments and Platforms,Smart & connected communities for learning,Dong Wang,
 ,Analytics,Data mining,Dong Wang,
 ,Other Domains,Computing technology,Dong Wang,
 ,Research Methods,Human-AI Interaction,Dong Wang,
 ,AI Approaches and Technologies,AI,Wei Wang,
 ,Other Domains,Software engineering,Wei Wang,
 ,Other Domains,Computing technology,Wei Wang,
 ,Analytics,Learning analytics,Pengbo Chu,
 ,Analytics,Graphics,Pengbo Chu,
 ,Other Domains,Mineral processing,Pengbo Chu,
 ,Other Domains,Chemistry,Pengbo Chu,
 ,AI Approaches and Technologies,Machine learning,Pengbo Chu,
 ,Analytics,Learning analytics,Jung Hyup Kim,
 ,Capacity Building,Research partnerships,Jung Hyup Kim,
 ,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Jung Hyup Kim,
 ,Research Methods,Human-AI Interaction,Jung Hyup Kim,
 ,Learning Processes and Theories,Self-regulation reflection and metacognition,Jung Hyup Kim,
 ,Equity and Social Justice,Cultural competence/responsiveness,Martina Rau,
 ,Analytics,Multimodal data analysis,Martina Rau,
 ,Analytics,Data mining,Martina Rau,
 ,Analytics,Data visualization representations and dashboards,Martina Rau,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Martina Rau,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Evgeny Chukharev-Hudilainen,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Evgeny Chukharev-Hudilainen,
 ,Other Domains,Spoken language,Evgeny Chukharev-Hudilainen,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Alina Reznitskaya,
 ,Capacity Building,Educator professional learning,Alina Reznitskaya,
 ,Research Methods,Quantitative methods,Alina Reznitskaya,
 ,Capacity Building,Pedagogy,Alina Reznitskaya,
 ,Equity and Social Justice,Cultural competence/responsiveness,Elisa Shernoff,
 ,Equity and Social Justice,Broadening participation of historically marginalized groups,Elisa Shernoff,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Matthew Stone,
 ,AI Approaches and Technologies,Pedagogical agents,Matthew Stone,
 ,AI Approaches and Technologies,AI knowledge representation and reasoning,Matthew Stone,
 ,AI Approaches and Technologies,Pedagogical agents,Melissa Malzkuhn,
 ,Learning Processes and Theories,Creativity,Melissa Malzkuhn,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Melissa Malzkuhn,
 ,Analytics,Data visualization representations and dashboards,Melissa Malzkuhn,
 ,Disciplinary Areas,Science education,Issifu Harruna,
 ,Disciplinary Areas,Science education,Conrad Ingram,
 ,Disciplinary Areas,Science education,Xinle Li,
 ,Capacity Building,Educator professional learning,Lydia Davenport,
 ,Other Domains,Environmental Science,Jacob Oluwoye,
 ,Disciplinary Areas,Computer science education,Peter Clarke,
 ,Other Domains,Software engineering,Peter Clarke,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Peter Clarke,
 ,AI Approaches and Technologies,Machine learning,Peter Clarke,
 ,Disciplinary Areas,Math education,Anjan Biswas,
 ,Capacity Building,Instructional Design,Jennifer Richardson,
 ,Capacity Building,Educator professional learning,Jennifer Richardson,
 ,Learning Environments and Platforms,Online learning,Jennifer Richardson,
 ,Capacity Building,Pedagogy,Jennifer Richardson,
 ,Other Domains,Software engineering,Jennifer Richardson,
 ,Capacity Building,Evaluation,Jennifer Richardson,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Mina Johnson-Glenberg,
 ,Analytics,Graphics,Robert Clements,
 ,Other Domains,Physcial Sciences,Robert Clements,
 ,Other Domains,Medicine,Robert Clements,
 ,Analytics,Data mining,Robert Clements,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Robert Clements,
 ,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Robert Clements,
 ,Learning Environments and Platforms,Interactive Displays,Robert Clements,
 ,Analytics,Graphics,Bedrich Benes,
 ,Analytics,Data visualization representations and dashboards,Bedrich Benes,
 ,Disciplinary Areas,Math education,Stacy Shaw,
 ,Other Domains,Software engineering,Stacy Shaw,
 ,Learning Processes and Theories,Creativity,Stacy Shaw,
 ,Disciplinary Areas,Math education,Stacy Shaw,
 ,Equity and Social Justice,Mental health,Stacy Shaw,
 ,Research Methods,HCI,Dominic Kao,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Dominic Kao,
 ,Learning Environments and Platforms,Games and game making,Dominic Kao,
 ,Research Methods,Survey measures,Gerald Knezek,
 ,Other Domains,Software engineering,Gerald Knezek,
 ,Learning Environments and Platforms,Narrative and simulated environments,Jean Oh,
 ,AI Approaches and Technologies,Robots,Jean Oh,
